Date,Max_Temp_C,21_Day_Avg,21_Day_Std,Upper_Danger_Limit,Is_Anomaly
2016-06-11,37.3,33.57619047619047,1.5361981519012178,36.648586779992904,True
2016-12-26,28.2,26.19047619047619,0.9838215091693249,28.15811920881484,True
2017-02-06,29.0,26.990476190476187,0.8774421701196682,28.745360530715523,True
2017-02-07,29.5,27.123809523809523,1.030487633067145,29.184784789943812,True
2017-02-10,30.0,27.442857142857147,1.2253862364866952,29.893629615830537,True
2017-02-21,32.3,29.114285714285714,1.5467015595406541,32.20768883336702,True
2017-03-02,34.2,30.495238095238093,1.3421908174608181,33.17961973015973,True
2017-03-03,35.0,30.73333333333333,1.6566029498142611,34.046539232961855,True
2017-03-24,35.0,30.5,2.158008341040402,34.8160166820808,True
2017-04-26,38.5,35.32380952380953,1.2660587513639794,37.855927026537486,True
2017-09-04,33.3,30.966666666666665,0.9456919865016856,32.85805063967003,True
2017-09-05,33.2,31.071428571428573,1.0640220191062943,33.19947260964116,True
2018-01-24,27.6,23.114285714285717,1.587225791841015,26.28873729796775,True
2018-02-03,29.3,25.12857142857143,1.7883352194548439,28.705241867481117,True
2018-02-04,30.4,25.533333333333335,1.9734065301739288,29.480146393681192,True
2018-02-23,33.0,29.82857142857143,1.1476684439082916,32.12390831638801,True
2018-02-24,34.2,30.061904761904763,1.483737237679308,33.02937923726338,True
2018-02-25,34.6,30.261904761904763,1.78422985920431,33.830364480313385,True
2018-04-14,36.1,32.94285714285714,1.556782396024434,36.05642193490601,True
2018-04-15,36.8,33.08571428571428,1.7633166800906361,36.612347645895554,True
2018-04-16,37.5,33.24285714285714,1.9988925505318136,37.24064224392077,True
2018-05-31,35.3,32.55238095238095,1.2098012430226899,34.97198343842633,True
2018-06-13,35.3,32.65714285714286,1.2097815623374424,35.076705981817746,True
2018-06-14,35.6,32.83809523809524,1.3511018431178232,35.54029892433089,True
2018-06-15,37.5,33.090476190476195,1.6807452995337933,36.45196678954378,True
2018-07-19,34.0,31.799999999999997,0.8689073598492512,33.5378147196985,True
